station_id,station_name,address,city,state,latitude,longitude,price
1372,PILOT TRAVEL CENTER #469,"I-77, EXIT 101 & SR-627",Canton,OH,40.827,-81.3853,3.62233333
1376,FUEL MART #782,"I-75, EXIT 118",Lima                                    ,OH,40.764066,-84.097296,3.08566666
1379,TA LODI TRAVEL CENTER,"I-71, EXIT 209 & I-76/US-224, EXIT 1",Seville,OH,41.022731,-81.856199,3.739
1384,SUNOCO,"I-80/I-90, EXIT 13 & US-20ALT/SR-15",Montpelier,OH,41.59821,-84.614703,3.41566666
1391,ONCUE EXPRESS #2045,"I-35, EXIT 203 & SR-15",Billings,OK,36.524609,-97.418889,3.21566666
1395,DOMINO FOOD AND FUEL #1,"I-40, EXIT 66",Clinton                                 ,OK,35.511543,-98.979533,3.099
1404,ONE9 #339,"I-74, EXIT 4 & SR-63",Covington,IN,40.132618,-87.381876,3.26233333
1414,SAC SHOP #507,"I-70, EXIT 12/161",Breezewood                              ,PA,39.990521,-78.245271,4.099
1424,GETTYSBURG TRAVEL PLAZA,US-15 & SR-394,Gettysburg,PA,39.832044,-77.222313,3.899
1428,CIRCLE K #4702408,"I-65, EXIT 168 & SR-38/SR-25",Lafayette,IN,40.417743,-86.888358,3.43233333
1432,KWIK FILL #259,"I-81, EXIT 57",Mechanicsburg                           ,PA,40.214167,-77.008889,4.049
1444,PILOT TRAVEL CENTERS #346,"I-20, EXIT 92 & US-601",Lugoff,SC,34.22961,-80.714712,3.43233333
1445,PILOT TRAVEL CENTERS #402,"I-80, EXIT 367",Cheyenne,WY,41.143719,-104.796234,3.709
1447,HOT SPOT #3005,US-221,Chesnee,SC,35.115398,-81.867827,3.199
1453,EXPRESS STOP,US-278/SR-101/SR-6 & SR-113,Rockmart,GA,33.997912,-85.05937,3.319
1455,PETRO FLORENCE,"I-95, EXIT 169",Florence,SC,34.18375,-79.772786,3.32566666
1461,CIRCLE K #2705370,"I-26, EXIT 15 & US-176",Inman,SC,35.052795,-82.054013,3.099
